type;summary
Truth;What is your favourite part of my body?
Truth;How long have you gone without showering?
Truth;What don't you want anyone in this group to ask you? (Be sure to keep it in mind for future rounds!)
Truth;Have you ever told a lie during a game of Truth or Dare? What was it and why?
Truth;Have you ever had a crush on anyone here?
Truth;Have you ever stolen anything?
Truth;What's your scariest nightmare?
Truth;What do you think is your biggest physical flaw?
Truth;Have you ever gone skinny dipping?
Truth;What kind of pajamas do you wear to bed?
Truth;What's the dumbest thing you've ever done on a dare?
Truth;What color is your underwear?
Truth;Have you ever peed in the swimming pool?
Truth;Where is the strangest place you've used the bathroom?
Truth;Are you scared of dying? Why?
Truth;What is your biggest fear?
Truth;What happened on the worst day of your life?
Truth;Have you ever climbed a tree?
Truth;Have you ever sang and danced in the grocery store?
Truth;"If you could be a superhero; what would your power be?"
Truth;What would you do if you were invisible for a day?
Truth;If your life were made into a movie who would play you?
Truth;What's your biggest pet peeve?
Truth;What is your special talent?
Truth;What's the best meal you've ever had?
Truth;What's you favorite Disney movie and why?
Truth;What would you do with a million dollars if you ever won the lottery?
Truth;"Who was your first crush; or who is your current crush?"
Truth;How old were you when you had your first kiss?
Truth;What would you do if your current boyfriend/girlfriend ended things right now?
Truth;Have you ever cheated on a boyfriend/girlfriend?
Truth;Have you ever been cheated on by a boyfriend/girlfriend?
Truth;If you could go on a date with anyone in the room who would it be?
Truth;What is the most awkward moment you've ever had on a date?
Truth;"If you could kiss a celebrity without it impacting your current relationship; who would it be?"
Truth;What would you do on the perfect first date?
Truth;"Of all the people you know; who has the most beautiful eyes?"
Truth;"If you could marry one teacher in the school; who would you pick and why?"
Truth;What were your first impressions of me (the person asking the question)?
Truth;What personality traits would cause you to end a friendship?
Truth;Would you go behind a friend's back with a crush?
Truth;Have you ever lied to your best friend?
Truth;Would you ever cheat off a friend's paper?
Truth;How many best friends have you had during your lifetime?
Truth;If you were stuck on a deserted island which friend would you want with you?
Truth;Which person here knows something about you that you wouldn't want revealed?
Truth;What are the three qualities you feel are most important in a friend?
Truth;What would make you lie for your friend?
